BEER NAME,BREWERY,FLAVOR,ABV%,CLASS ,IMAGE,CREATEDAT,UPDATEDAT
10w-40,HiWire,Imperial Stout,8,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560466/gentledrinkers/10w-40.png,2021-02-07 8:51:41,2020-03-30 4:43:55
After The Last Death,Orpheus,Sour Ale,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560467/gentledrinkers/After-The-Last-Death.jpg,2021-02-07 8:51:41,2020-03-31 4:43:55
Ain't That A Peach,Red Hare,Fruited Berliner Weisse,3.9,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560467/gentledrinkers/Aint-That-A-Peach.png,2021-02-07 8:51:41,2020-04-01 4:43:55
American Blackberry Ale,Wild Leap,Ale,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560467/gentledrinkers/American-Blackberry-Ale.png,2021-02-07 8:51:41,2020-04-02 4:43:55
Apricot Funk,Prairie,Sour Wild Ale,6.3,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560467/gentledrinkers/Apricot-Funk.jpg,2021-02-07 8:51:41,2020-04-03 4:43:55
Athena,Creature Comforts,Berliner Weisse,4.5,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560467/gentledrinkers/Athena.jpg,2021-02-07 8:51:41,2020-04-04 4:43:55
Athena Paradiso,Creature Comforts,Fruited Berliner Weisse,4.5,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560467/gentledrinkers/Athena-Paradiso.jpg,2021-02-07 8:51:41,2020-04-05 4:43:55
Athena Paradiso Guava,Creature Comforts,Fruited Berliner Weisse,4.5,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560466/gentledrinkers/Athena-Paradiso-Guava.jpg,2021-02-07 8:51:41,2020-04-06 4:43:55
Banana Bread Beer,Well's,Ale,5.2,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Banana-Bread-Beer.jpg,2021-02-07 8:51:41,2020-04-07 4:43:55
Beer for Breakfast Stout,Dogfish Head,Stout,7.4,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Beer-For-Breakfast-Stout.png,2021-02-07 8:51:41,2020-04-08 4:43:55
Bel Air Sour,Brooklyn,Sour Ale,5.8,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Bel-Air-Sour.jpg,2021-02-07 8:51:41,2020-04-09 4:43:55
Belga Rose,New Realm,Blonde Ale,5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Belga-Rose.jpg,2021-02-07 8:51:41,2020-04-10 4:43:55
Big Shanty Graham Cracker Stout,Burnt Hickory,Stout,9,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Big-Shanty-Graham-Cracker-Stout.jpg,2021-02-08 8:51:41,2020-04-11 4:43:55
Blackberry Daze IPA,Anchor,IPA,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Blackberry-Daze-IPA.png,2021-02-09 8:51:41,2020-04-12 4:43:55
Bleeding Heart,Second Self,Ale,6.9,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Bleeding-Heart.png,2021-02-10 8:51:41,2020-04-13 4:43:55
Bourbon Barrel Stout,Kentucky,Stout,8,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Bourbon-Barrel-Stout.jpg,2021-02-11 8:51:41,2020-04-14 4:43:55
Briney Melon Gose,Anderson Valley,Gose,4.2,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Briney-Melon-Gose.jpg,2021-02-12 8:51:41,2020-04-15 4:43:55
Cherry Apricot Vanilla,Trimtab,Sour Berliner Weisse,5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560468/gentledrinkers/Cherry-Apricot-Vanilla.jpg,2021-02-13 8:51:41,2020-04-16 4:43:55
